ID	Language_ID	Parameter_ID	Form	Segments	BorrowedScore	Essential	Borrowability
37-1-44-1	37	1-440	rumi	ʐ u m i	0.0	True	0.105
37-1-45-1	37	1-450	allpa chukchuy	a ʒ p a # tʃ u k tʃ u j	0.0	False	0.25
37-1-51-1	37	1-510	jawa pacha	x a w a # p a tʃ a	0.0	False	0.273542600897
37-1-52-1	37	1-520	inti	i n d i	0.0	True	0.13900203666
37-1-53-1	37	1-530	killa	k i ʒ a	0.0	True	0.284198113208
37-1-54-1	37	1-540	luziru	l u z i ɾ u	1.0	True	0.1703187251
37-1-55-1	37	1-550	rilampagu	ʐ i l a m b a g u	1.0	False	0.16
37-1-56-1	37	1-560	kulun	k u l u ŋ	0.0	False	0.104247104247
37-1-57-1	37	1-570	rayu	ʐ a j u	1.0	False	0.255681818182
37-1-58-1	37	1-580	ninan tamya	n i n a n # t a m j a	0.0	False	0.235401459854
37-1-59-1	37	1-590	kuychi	k u j tʃ i	0.0	False	0.136363636364
37-1-61-1	37	1-610	micha	m i tʃ a	1.0	False	0.208632834963
37-1-62-1	37	1-620	amsa	a m s a	0.0	False	0.147272727273
37-1-63-1	37	1-630	llantu	ʒ a n d u	0.0	True	0.112745098039
37-1-64-1	37	1-640	yaku wiki	j a k u # w i k i	0.0	False	0.163822525597
37-1-71-1	37	1-710	samay	s a m a j	0.0	False	0.47572815534
37-1-72-1	37	1-720	wayra	w a j ɾ a	0.0	True	0.171739130435
37-1-73-1	37	1-730	fuyu	ɸ u j u	1.0	True	0.164705882353
37-1-74-1	37	1-740	fuyu	ɸ u j u	1.0	False	0.140625
37-1-75-1	37	1-750	tamya	t a m j a	0.0	True	0.0836776859504
37-1-76-1	37	1-760	rasu	ʐ a s u	0.0	False	0.237244897959
37-1-77-1	37	1-770	rasu	ʐ a s u	0.0	False	0.230769230769
37-1-81-1	37	1-810	nina	n i n a	0.0	True	0.0354578882858
37-1-82-1	37	1-820	nina	n i n a	0.0	False	0.180036930652
37-1-83-1	37	1-830	kushni	k u ʃ n i	0.0	True	0.0840517241379
37-1-84-1	37	1-840	uchufa	u tʃ u ɸ a	0.0	True	0.147058823529
37-1-841-1	37	1-841	nina muru	n i n a # m u ɾ u	0.0	False	0.247933884298
37-1-851-1	37	1-851	rupachina	ʐ u p a tʃ i n a	0.0	False	0.0997854077253
37-1-852-1	37	1-852	rupana	ʐ u p a n a	0.0	True	0.0493827160494
37-1-86-1	37	1-860	japichina	x a p i tʃ i n a	0.0	False	0.0621761658031
37-1-861-1	37	1-861	wañuchina	w a ɲ u tʃ i n a	0.0	False	0.147585345545
37-1-87-1	37	1-870	fúsfuru	ɸ ú s ɸ u ɾ u	1.0	False	0.6689453125
37-1-88-1	37	1-880	yanta	j a n d a	0.0	False	0.0491028128031
37-1-89-1	37	1-890	karbun	k a ɾ b u ŋ	1.0	False	0.258823529412
37-2-1-1	37	2-100	jinti	x i n d i	1.0	True	0.32299270073
37-2-21-1	37	2-210	kari	k a ɾ i	0.0	True	0.0962877030162
37-2-22-1	37	2-220	warmi	w a ɾ m i	0.0	True	0.157498824636
37-2-23-1	37	2-230	kari	k a ɾ i	0.0	False	0.189476168004
37-2-24-1	37	2-240	warmi	w a ɾ m i	0.0	False	0.157597876576
37-2-25-1	37	2-250	wambra	w a m b ɾ a	0.0	False	0.169642857143
37-2-251-1	37	2-251	jatun wambra	x a t u n # w a m b ɾ a	0.0	False	0.243203883495
37-2-26-1	37	2-260	kuytsa	k u j ts a	0.75	False	0.142448512586
37-2-261-1	37	2-261	warmi	w a ɾ m i	0.0	False	0.17094017094
37-2-27-1	37	2-270	wawa	w a w a	0.0	False	0.154699738903
37-2-28-1	37	2-280	wawa	w a w a	0.0	False	0.221811460259
37-2-31-1	37	2-310	kusa	k u s a	0.0	False	0.199845480299
37-2-32-1	37	2-320	warmi	w a ɾ m i	0.0	False	0.183438155136
37-2-33-1	37	2-330	kazarana	k a z a ɾ a n a	1.0	False	0.139645776567
37-2-34-1	37	2-340	kazamintu	k a z a m i n d u	1.0	False	0.252808988764
37-2-341-1	37	2-341	dibursyu	d i b u ɾ s j u	1.0	False	0.248724489796
37-2-35-1	37	2-350	tayta	t a j t a	1.0	False	0.251601774273
37-2-36-1	37	2-360	mama	m a m a	0.0	False	0.194662480377
37-2-37-1	37	2-370	yayamama	j a j a m a m a	0.0	False	0.117283950617
37-2-38-1	37	2-380	kazarashka runa	k a z a ɾ a ʃ k a # ɾ u n a	0.0	False	0.0467128027682
37-2-39-1	37	2-390	kazarashka warmi	k a z a ɾ a ʃ k a # w a ɾ m i	0.0	False	0.0100536193029
37-2-41-1	37	2-410	churi	tʃ u ɾ i	0.0	False	0.111888111888
37-2-42-1	37	2-420	ushi	u ʃ i	0.0	False	0.117391304348
37-2-43-1	37	2-430	wawa	w a w a	0.0	True	0.0709459459459
37-2-44-1	37	2-440	wawki	w a w k i	0.0	False	0.063270832029
37-2-444-1	37	2-444	ruku wawki	ʐ u k u # w a w k i	0.0	False	0.0628418214226
37-2-445-1	37	2-445	jipa wawki	x i p a # w a w k i	0.0	False	0.0308275018683
37-2-45-1	37	2-450	ñaña	ɲ a ɲ a	0.0	False	0.117514603896
37-2-454-1	37	2-454	paya ñaña	p a j a # ɲ a ɲ a	0.0	False	0.05502417729
37-2-455-1	37	2-455	jipa ñaña	x i p a # ɲ a ɲ a	0.0	False	0.0111165383773
37-2-458-1	37	2-458	millisus	m i ʒ i s u s	1.0	False	0.230079681275
37-2-46-1	37	2-460	awilu	a w i l u	1.0	False	0.266843971631
37-2-461-1	37	2-461	ruku runa	ʐ u k u # ɾ u n a	0.0	False	0.229511970534
37-2-47-1	37	2-470	awila	a w i l a	1.0	False	0.271452145215
37-2-471-1	37	2-471	paya warmi	p a j a # w a ɾ m i	0.0	False	0.187074829932
37-2-48-1	37	2-480	ñitu	ɲ i t u	1.0	False	0.0951248513674
37-2-49-1	37	2-490	ñita	ɲ i t a	1.0	False	0.10456796918
37-2-51-1	37	2-510	tiyu	t i j u	1.0	False	0.303871335041
37-2-511-1	37	2-511	tiyu	t i j u	1.0	False	0.21123767426
37-2-512-1	37	2-512	tiyu	t i j u	1.0	False	0.215423606083
37-2-52-1	37	2-520	tiya	t i j a	1.0	False	0.237457073457
37-2-521-1	37	2-521	tiya	t i j a	1.0	False	0.21676300578
37-2-522-1	37	2-522	tiya	t i j a	1.0	False	0.277013076394
37-2-53-1	37	2-530	subrinu	s u b ɾ i n u	1.0	False	0.189051918736
37-2-54-1	37	2-540	subrina	s u b ɾ i n a	1.0	False	0.145631067961
37-2-55-1	37	2-550	primu	p ɾ i m u	1.0	False	0.124176857949
37-2-56-1	37	2-560	ñaupa runakuna	ɲ a u p a # ɾ u n a k u n a	0.0	False	0.278481012658
37-2-57-1	37	2-570	churikuna	tʃ u ɾ i k u n a	0.0	False	0.345454545455
37-2-61-1	37	2-610	swidru	s w i d ɾ u	1.0	False	0.125486381323
37-2-611-1	37	2-611	swidru	s w i d ɾ u	1.0	False	0.169769409774
37-2-62-1	37	2-620	swidra	s w i d ɾ a	1.0	False	0.121737746658
37-2-621-1	37	2-621	swidra	s w i d ɾ a	1.0	False	0.188972513089
37-2-63-1	37	2-630	yirnu	j i ɾ n u	1.0	False	0.204086718166
37-2-631-1	37	2-631	yirnu	j i ɾ n u	1.0	False	0.218113834649
37-2-64-1	37	2-640	jachun	x a tʃ u ŋ	0.0	False	0.0939818631492
37-2-641-1	37	2-641	jachun	x a tʃ u ŋ	0.0	False	0.116810877627
37-2-71-1	37	2-710	padastru	p a d a s t ɾ u	1.0	False	0.118403837767
37-2-72-1	37	2-720	madastra	m a d a s t ɾ a	1.0	False	0.140077821012
37-2-73-1	37	2-730	intinadu	i n d i n a d u	1.0	False	0.75
37-2-74-1	37	2-740	intinada	i n d i n a d a	1.0	False	0.0970812182741
37-2-75-1	37	2-750	wajcha	w a x tʃ a	0.0	False	0.225941422594
37-2-76-1	37	2-760	byuda	b j u d a	1.0	False	0.26875
37-2-77-1	37	2-770	byudu	b j u d u	1.0	False	0.208955223881
37-2-81-1	37	2-810	ayllu	a j ʒ u	0.0	False	0.398592283629
37-2-82-1	37	2-820	ayllu	a j ʒ u	0.0	False	0.419715447154
37-2-91-1	37	2-910	ñuka	ɲ u k a	0.0	True	0.0296610169492
37-2-92-1	37	2-920	kan	k a ŋ	0.0	True	0.0416666666667
37-2-93-1	37	2-930	pay	p a j	0.0	True	0.0
37-2-94-1	37	2-940	ñukanchik	ɲ u k a n dʒ i k	0.0	True	0.00882352941176
37-2-95-1	37	2-950	kankuna	k a ŋ g u n a	0.0	False	0.0380952380952
37-2-96-1	37	2-960	paykuna	p a j k u n a	0.0	False	0.0741525423729
37-3-11-1	37	3-110	animal	a n i m a l	1.0	False	0.456140350877
37-3-12-1	37	3-120	kari	k a ɾ i	0.0	False	0.168918918919
37-3-13-1	37	3-130	warmi	w a ɾ m i	0.0	False	0.117414248021
37-3-15-1	37	3-150	wagra	w a g ɾ a	0.0	False	0.276483050847
37-3-16-1	37	3-160	putru	p u t ɾ u	1.0	False	0.358333333333
37-3-18-1	37	3-180	michik	m i tʃ i k	0.0	False	0.205128205128
37-3-19-1	37	3-190	istablu	i s t a b l u	1.0	False	0.252717391304
37-3-2-1	37	3-200	wagra	w a g ɾ a	0.0	False	0.319884726225
37-3-21-1	37	3-210	wagra	w a g ɾ a	0.0	False	0.308917197452
37-3-22-1	37	3-220	buyi	b u j i	1.0	False	0.488095238095
37-3-23-1	37	3-230	baka	b a k a	1.0	False	0.300230946882
37-3-24-1	37	3-240	shiku	ʃ i k u	0.75	False	0.209708737864
37-3-25-1	37	3-250	llama	ʒ a m a	0.0	False	0.425897824987
37-3-26-1	37	3-260	karneru	k a ɾ n e ɾ u	1.0	False	0.19133192389
37-3-28-1	37	3-280	llama	ʒ a m a	0.0	False	0.0915915915916
37-3-29-1	37	3-290	llama	ʒ a m a	0.0	False	0.204545454545
37-3-32-1	37	3-320	sachaguagra	s a tʃ a g u a g ɾ a	0.0	False	0.227678571429
37-3-34-1	37	3-340	kuchi	k u tʃ i	0.0	False	0.138157894737
37-3-35-1	37	3-350	kuchi	k u tʃ i	0.0	False	0.303135888502
37-3-36-1	37	3-360	chita	tʃ i t a	0.75	False	0.367430795848
37-3-37-1	37	3-370	chita	tʃ i t a	0.75	False	0.284682080925
37-3-38-1	37	3-380	wawa chita	w a w a # tʃ i t a	0.0	False	0.124365482234
37-3-41-1	37	3-410	kaballu	k a b a ʒ u	1.0	False	0.573705179283
37-3-42-1	37	3-420	kaballu	k a b a ʒ u	1.0	False	0.313106796117
37-3-44-1	37	3-440	bistya	b i s t j a	1.0	False	0.266497461929
37-3-45-1	37	3-450	putru	p u t ɾ u	1.0	False	0.210526315789
37-3-46-1	37	3-460	burru	b u ʐ u	1.0	False	0.626582278481
37-3-47-1	37	3-470	mula	m u l a	1.0	False	0.6875
37-3-5-1	37	3-500	atallpa	a t a ʒ p a	0.0	False	0.152103559871
37-3-52-1	37	3-520	gallu	g a ʒ u	1.0	False	0.298901098901
37-3-54-1	37	3-540	atallpa	a t a ʒ p a	0.0	False	0.128361858191
37-3-55-1	37	3-550	pullu	p u ʒ u	1.0	False	0.372122762148
37-3-56-1	37	3-560	gansu	g a n s u	1.0	False	0.472602739726
37-3-57-1	37	3-570	patu	p a t u	1.0	False	0.461538461538
37-3-58-1	37	3-580	tazin	t a z i ŋ	1.0	False	0.125
37-3-581-1	37	3-581	pishku	p i ʃ k u	0.0	True	0.158181818182
37-3-583-1	37	3-583	garsa	g a ɾ s a	1.0	False	0.203947368421
37-3-584-1	37	3-584	anga	a ŋ g a	0.0	False	0.247126436782
37-3-585-1	37	3-585	anga	a ŋ g a	0.0	False	0.159793814433
37-3-586-1	37	3-586	kuriquinga	k u ɾ i q u i ŋ g a	0.0	False	0.110294117647
37-3-591-1	37	3-591	tupan	t u p a ŋ	1.0	False	0.222826086957
37-3-592-1	37	3-592	luru	l u ɾ u	1.0	False	0.5
37-3-594-1	37	3-594	paluma	p a l u m a	1.0	False	0.262820512821
37-3-596-1	37	3-596	chushij	tʃ u ʃ i x	0.0	False	0.15350877193
37-3-61-1	37	3-610	allku	a ʒ k u	0.0	True	0.161616161616
37-3-614-1	37	3-614	kunu	k u n u	1.0	False	0.44262295082
37-3-62-1	37	3-620	misi	m i s i	0.0	False	0.344186046512
37-3-622-1	37	3-622	rapusa	ʐ a p u s a	1.0	False	0.476744186047
37-3-63-1	37	3-630	ukucha	u k u tʃ a	0.0	False	0.177165354331
37-3-65-1	37	3-650	piji	p i x i	0.75	True	0.145161290323
37-3-71-1	37	3-710	atuk	a t u k	0.0	False	0.270833333333
37-3-72-1	37	3-720	liyón	l i j ó ŋ	1.0	False	0.656626506024
37-3-73-1	37	3-730	usu	u s u	1.0	False	0.354838709677
37-3-74-1	37	3-740	añas	a ɲ a s	0.0	False	0.173611111111
37-3-75-1	37	3-750	taruga	t a ɾ u g a	0.0	False	0.146706586826
37-3-76-1	37	3-760	munu	m u n u	1.0	False	0.333333333333
37-3-77-1	37	3-770	elefanti	e l e ɸ a n d i	1.0	False	0.641176470588
37-3-811-1	37	3-811	usa	u s a	0.0	True	0.0493421052632
37-3-812-1	37	3-812	tsiya	ts i j a	0.0	False	0.0479452054795
37-3-813-1	37	3-813	piqui	p i q u i	0.0	False	0.0705882352941
37-3-814-1	37	3-814	sintupis	s i n d u p i s	1.0	False	0.141025641026
37-3-815-1	37	3-815	alakrán	a l a k ɾ á ŋ	1.0	False	0.324324324324
37-3-817-1	37	3-817	añanku	a ɲ a ŋ g u	0.0	True	0.12
37-3-818-1	37	3-818	añara	a ɲ a ɾ a	1.0	False	0.252747252747
37-3-819-1	37	3-819	urukilla	u ɾ u k i ʒ a	0.0	False	0.0833333333333
37-3-82-1	37	3-820	abija	a b i x a	1.0	False	0.139830508475
37-3-821-1	37	3-821	mishki wira	m i ʃ k i # w i ɾ a	0.0	False	0.100746268657
37-3-822-1	37	3-822	mishki puru	m i ʃ k i # p u ɾ u	0.0	False	0.133757961783
37-3-823-1	37	3-823	punpuni	p u m b u n i	0.0	False	0.15969581749
37-3-83-1	37	3-830	chuspi	tʃ u s p i	0.0	False	0.0519230769231
37-3-831-1	37	3-831	waña	w a ɲ a	0.75	False	0.0833333333333
37-3-832-1	37	3-832	chuspigu	tʃ u s p i g u	0.0	False	0.215909090909
37-3-84-1	37	3-840	kuika	k u i k a	0.0	False	0.124309392265
37-3-85-1	37	3-850	kulibra	k u l i b ɾ a	1.0	False	0.154228855721
37-3-91-1	37	3-910	ninakuru	n i n a k u ɾ u	0.0	False	0.0972222222222
37-3-92-1	37	3-920	pinpillitu	p i m b i ʒ i t u	0.0	False	0.140449438202
37-3-93-1	37	3-930	dyablillu	d j a b l i ʒ u	1.0	False	0.105555555556
37-3-94-1	37	3-940	churu	tʃ u ɾ u	0.0	False	0.209044368601
37-3-95-1	37	3-950	sapu	s a p u	1.0	False	0.224598930481
37-3-96-1	37	3-960	palu kuku	p a l u # k u k u	0.0	False	0.232673267327
37-3-97-1	37	3-970	kukudrilu	k u k u d ɾ i l u	1.0	False	0.533333333333
37-3-98-1	37	3-980	turtuga	t u ɾ t u g a	1.0	False	0.244791666667
37-4-11-1	37	4-110	aycha	a j tʃ a	0.0	False	0.187835420394
37-4-12-1	37	4-120	kara	k a ɾ a	0.0	True	0.110978520286
37-4-13-1	37	4-130	aycha	a j tʃ a	0.0	False	0.14553314121
37-4-14-1	37	4-140	akcha	a k tʃ a	0.0	False	0.056421830119
37-4-142-1	37	4-142	barbas	b a ɾ b a s	1.0	False	0.168539325843
37-4-144-1	37	4-144	milma	m i l m a	0.0	False	0.123790552077
37-4-145-1	37	4-145	milma	m i l m a	0.0	False	0.173594709495
37-4-146-1	37	4-146	kaspa	k a s p a	1.0	False	0.2625
37-4-15-1	37	4-150	yawar	j a w a ɾ	0.0	True	0.0957446808511
37-4-151-1	37	4-151	anku	a ŋ g u	0.0	False	0.262697022767
37-4-16-1	37	4-160	tullu	t u ʒ u	0.0	True	0.0823529411765
37-4-162-1	37	4-162	kustilla	k u s t i ʒ a	1.0	False	0.112359550562
37-4-17-1	37	4-170	kachu	k a tʃ u	0.0	True	0.159782608696
37-4-18-1	37	4-180	chupa	tʃ u p a	0.0	True	0.117021276596
37-4-19-1	37	4-190	washa	w a ʃ a	0.0	True	0.0819209039548
37-4-191-1	37	4-191	washa tullu	w a ʃ a # t u ʒ u	0.0	False	0.135057471264
37-4-2-1	37	4-200	uma	u m a	0.0	True	0.203531598513
37-4-202-1	37	4-202	uma tullu	u m a # t u ʒ u	0.0	False	0.179347826087
37-4-203-1	37	4-203	ñutuju	ɲ u t u x u	0.0	False	0.132432432432
37-4-204-1	37	4-204	ñawi	ɲ a w i	0.0	False	0.268847795164
37-4-205-1	37	4-205	ñawi	ɲ a w i	0.0	False	0.0657370517928
37-4-207-1	37	4-207	kashtuna	k a ʃ t u n a	0.0	False	0.13125
37-4-208-1	37	4-208	ñawi chichu	ɲ a w i # tʃ i tʃ u	0.0	False	0.0714285714286
37-4-209-1	37	4-209	jasha	x a ʃ a	0.0	False	0.0602409638554
37-4-21-1	37	4-210	ñawi lulun	ɲ a w i # l u l u ŋ	0.0	True	0.096018735363
37-4-212-1	37	4-212	ñawi milma	ɲ a w i # m i l m a	0.0	False	0.146484375
37-4-213-1	37	4-213	ñawi kara	ɲ a w i # k a ɾ a	0.0	False	0.0435684647303
37-4-214-1	37	4-214	ñawi milma	ɲ a w i # m i l m a	0.0	False	0.0739910313901
37-4-215-1	37	4-215	kapitsina	k a p i ts i n a	0.0	False	0.13829787234
37-4-22-1	37	4-220	rinri	ʐ i ŋ ɾ i	0.0	True	0.10393258427
37-4-221-1	37	4-221	rinri kara	ʐ i ŋ ɾ i # k a ɾ a	0.0	False	0.0869565217391
37-4-222-1	37	4-222	rinri mapa	ʐ i ŋ ɾ i # m a p a	0.0	False	0.0779220779221
37-4-23-1	37	4-230	singa	s i ŋ g a	0.0	True	0.0267857142857
37-4-231-1	37	4-231	singa utuju	s i ŋ g a # u t u x u	0.0	False	0.0714285714286
37-4-232-1	37	4-232	juña	x u ɲ a	0.0	False	0.0689655172414
37-4-24-1	37	4-240	shimi	ʃ i m i	0.0	True	0.07962529274
37-4-241-1	37	4-241	piku	p i k u	1.0	False	0.260180995475
37-4-25-1	37	4-250	shimi	ʃ i m i	0.0	False	0.0821052631579
37-4-26-1	37	4-260	jallu	x a ʒ u	0.0	True	0.0663716814159
37-4-27-1	37	4-270	kiru	k i ɾ u	0.0	True	0.117537313433
37-4-271-1	37	4-271	kiru aycha	k i ɾ u # a j tʃ a	0.0	False	0.136255924171
37-4-272-1	37	4-272	kiru	k i ɾ u	0.0	False	0.0949367088608
37-4-28-1	37	4-280	kunga	k u ŋ g a	0.0	True	0.105
37-4-281-1	37	4-281	kunga nuka	k u ŋ g a # n u k a	1.0	False	0.166666666667
37-4-29-1	37	4-290	tunguri	t u ŋ g u ɾ i	0.0	False	0.12969924812
37-4-3-1	37	4-300	umbru	u m b ɾ u	1.0	False	0.133858267717
37-4-301-1	37	4-301	pillischaka	p i ʒ i s tʃ a k a	0.0	False	0.233870967742
37-4-302-1	37	4-302	pillischaka	p i ʒ i s tʃ a k a	0.0	False	0.1625
37-4-31-1	37	4-310	rigra	ʐ i g ɾ a	0.0	False	0.0932835820896
37-4-312-1	37	4-312	subaku	s u b a k u	1.0	False	0.146739130435
37-4-32-1	37	4-320	rigra muku	ʐ i g ɾ a # m u k u	0.0	False	0.0852272727273
37-4-321-1	37	4-321	maki muku	m a k i # m u k u	0.0	False	0.132653061224
37-4-33-1	37	4-330	maki	m a k i	0.0	True	0.150735294118
37-4-331-1	37	4-331	maki tabla	m a k i # t a b l a	0.0	False	0.10989010989
37-4-34-1	37	4-340	didu	d i d u	1.0	False	0.0506912442396
37-4-344-1	37	4-344	sillu	s i ʒ u	0.0	False	0.76
37-4-345-1	37	4-345	sillu	s i ʒ u	0.0	True	0.116455696203
37-4-35-1	37	4-350	changa	tʃ a ŋ g a	0.0	False	0.146186440678
37-4-351-1	37	4-351	raku changa	ʐ a k u # tʃ a ŋ g a	0.0	True	0.09375
37-4-352-1	37	4-352	changa	tʃ a ŋ g a	0.0	False	0.0723684210526
37-4-36-1	37	4-360	kunguri	k u ŋ g u ɾ i	0.0	True	0.0888888888889
37-4-37-1	37	4-370	chaki	tʃ a k i	0.0	True	0.141416510319
37-4-371-1	37	4-371	chaki muku	tʃ a k i # m u k u	0.0	False	0.112359550562
37-4-372-1	37	4-372	talun	t a l u ŋ	1.0	False	0.0569105691057
37-4-374-1	37	4-374	chaki sarushka	tʃ a k i # s a ɾ u ʃ k a	0.0	False	0.126959247649
37-4-38-1	37	4-380	didu	d i d u	1.0	False	0.0851063829787
37-4-392-1	37	4-392	alas	a l a s	1.0	True	0.116379310345
37-4-393-1	37	4-393	alas	a l a s	1.0	True	0.109739368999
37-4-4-1	37	4-400	pichu	p i tʃ u	1.0	False	0.172043010753
37-4-41-1	37	4-410	chuchu	tʃ u tʃ u	0.0	True	0.053317535545
37-4-412-1	37	4-412	chuchu uma	tʃ u tʃ u # u m a	0.0	False	0.0622605363985
37-4-42-1	37	4-420	chuchu	tʃ u tʃ u	0.0	False	0.0455801104972
37-4-43-1	37	4-430	pupu	p u p u	0.0	True	0.122448979592
37-4-44-1	37	4-440	shungu	ʃ u ŋ g u	0.0	True	0.223300970874
37-4-441-1	37	4-441	yurak shungu	j u ɾ a k # ʃ u ŋ g u	0.0	False	0.261904761905
37-4-45-1	37	4-450	yana shungu	j a n a # ʃ u ŋ g u	0.0	True	0.130555555556
37-4-451-1	37	4-451	yana shungu	j a n a # ʃ u ŋ g u	0.0	False	0.167630057803
37-4-46-1	37	4-460	puzun	p u z u ŋ	1.0	False	0.31768558952
37-4-461-1	37	4-461	chunchuli	tʃ u n dʒ u l i	0.0	False	0.165
37-4-462-1	37	4-462	sintura	s i n d u ɾ a	1.0	False	0.159574468085
37-4-463-1	37	4-463	kangui	k a ŋ g u i	0.0	False	0.125
37-4-464-1	37	4-464	siki	s i k i	0.0	False	0.0996677740864
37-4-47-1	37	4-470	madri	m a d ɾ i	1.0	False	0.289389067524
37-4-49-1	37	4-490	lulun	l u l u ŋ	0.0	False	0.212851405622
37-4-492-1	37	4-492	pishku	p i ʃ k u	0.0	False	0.290993071594
37-4-51-1	37	4-510	samay aysana	s a m a j # a j s a n a	0.0	False	0.125
37-4-52-1	37	4-520	amfana	a m ɸ a n a	0.75	False	0.119047619048
37-4-521-1	37	4-521	jikiana	x i k i a n a	0.0	False	0.126506024096
37-4-53-1	37	4-530	ujuna	u x u n a	0.0	False	0.0555555555556
37-4-54-1	37	4-540	atsiana	a ts i a n a	0.0	False	0.115291262136
37-4-55-1	37	4-550	sudana	s u d a n a	1.0	False	0.147959183673
37-4-56-1	37	4-560	tukana	t u k a n a	0.0	False	0.0555555555556
37-4-57-1	37	4-570	lanzana	l a n z a n a	1.0	False	0.221003134796
37-4-58-1	37	4-580	kanina	k a n i n a	0.0	True	0.0358361774744
37-4-59-1	37	4-590	lambina	l a m b i n a	1.0	False	0.16265060241
37-4-591-1	37	4-591	llaushana	ʒ a u ʃ a n a	0.0	False	0.0961538461538
37-4-61-1	37	4-610	puñuna	p u ɲ u n a	0.0	True	0.100190839695
37-4-612-1	37	4-612	runkana	ʐ u ŋ g a n a	1.0	False	0.115
37-4-62-1	37	4-620	muskuna	m u s k u n a	0.0	False	0.0862068965517
37-4-63-1	37	4-630	rikcharina	ʐ i k tʃ a ɾ i n a	0.0	False	0.10650887574
37-4-64-1	37	4-640	supi	s u p i	0.0	False	0.35
37-4-65-1	37	4-650	ishpana	i ʃ p a n a	0.0	False	0.188775510204
37-4-66-1	37	4-660	ismana	i s m a n a	0.0	False	0.14953271028
37-4-67-1	37	4-670	yumana	j u m a n a	0.0	False	0.123626373626
37-4-68-1	37	4-680	chujchuna	tʃ u x tʃ u n a	0.0	False	0.0728155339806
37-4-69-1	37	4-690	armarina	a ɾ m a ɾ i n a	0.0	False	0.115384615385
37-4-71-1	37	4-710	wawachina	w a w a tʃ i n a	0.0	False	0.162269129288
37-4-72-1	37	4-720	wacharina	w a tʃ a ɾ i n a	0.0	False	0.174712643678
37-4-73-1	37	4-730	bijsayuk	b i x s a j u k	0.0	False	0.0700483091787
37-4-732-1	37	4-732	wawachina	w a w a tʃ i n a	0.0	False	0.0942028985507
37-4-74-1	37	4-740	kawsana	k a w s a n a	0.0	False	0.131416837782
37-4-75-1	37	4-750	wañuna	w a ɲ u n a	0.0	False	0.204545454545
37-4-751-1	37	4-751	awarina	a w a ɾ i n a	1.0	False	0.162337662338
37-4-76-1	37	4-760	wañuchina	w a ɲ u tʃ i n a	0.0	True	0.0777777777778
37-4-77-1	37	4-770	wañushka	w a ɲ u ʃ k a	0.0	False	0.367117117117
37-4-78-1	37	4-780	pambana	p a m b a n a	0.0	False	0.11797752809
37-4-79-1	37	4-790	pambana uku	p a m b a n a # u k u	0.0	False	0.301020408163
37-4-81-1	37	4-810	shinchi	ʃ i n dʒ i	0.0	False	0.275229357798
37-4-82-1	37	4-820	fangalla	ɸ a ŋ g a ʒ a	0.0	False	0.171506352087
37-4-83-1	37	4-830	alli kawsay	a ʒ i # k a w s a j	0.0	False	0.354526606773
37-4-84-1	37	4-840	unkushka	u ŋ g u ʃ k a	0.0	False	0.177902621723
